trip_id,driver_id,date,start_time,end_time,duration_min,distance_km,fare,surge_multiplier,pickup_location,dropoff_location,trip_status
TRIP001,DRV001,06-02-2024,06:28:00,07:02:00,34,18.3,485,1.5,Viman Nagar,Hinjewadi,completed
TRIP002,DRV001,06-02-2024,07:34:00,08:34:00,60,23.1,579,1.3,Hadapsar,Wakad,completed
TRIP003,DRV001,06-02-2024,08:53:00,09:25:00,32,14.2,387,1.5,Viman Nagar,Baner,completed
TRIP004,DRV001,06-02-2024,09:56:00,10:24:00,28,6.5,168,1.3,Aundh,Baner,completed
TRIP005,DRV001,06-02-2024,10:58:00,11:22:00,24,8,158,1.1,Shivajinagar,Koregaon Park,completed
TRIP006,DRV002,06-02-2024,12:17:00,13:12:00,55,20.3,569,1.3,South Delhi,Saket,completed
TRIP007,DRV002,06-02-2024,13:26:00,13:58:00,32,9.7,221,1.2,South Delhi,Rohini,completed
TRIP008,DRV003,06-02-2024,06:01:00,07:01:00,60,26.2,782,1.5,Koregaon Park,Aundh,completed
TRIP009,DRV003,06-02-2024,07:27:00,08:27:00,60,22.7,561,1.3,Viman Nagar,Shivajinagar,completed
TRIP010,DRV004,06-02-2024,06:07:00,06:27:00,20,7.4,174,1.1,Juhu,BKC,completed
TRIP011,DRV004,06-02-2024,06:47:00,07:46:00,59,20.5,683,1.5,Andheri West,Malad,completed
TRIP012,DRV004,06-02-2024,08:18:00,08:58:00,40,19.7,555,1.4,Juhu,Andheri West,completed
TRIP013,DRV005,06-02-2024,06:03:00,07:03:00,60,18.7,499,1.4,Anna Nagar,Tambaram,completed
TRIP014,DRV005,06-02-2024,07:34:00,08:15:00,41,18.2,537,1.4,Adyar,Guindy,completed
TRIP015,DRV005,06-02-2024,08:41:00,09:00:00,19,8.1,204,1.3,Guindy,Nungambakkam,completed
TRIP016,DRV005,06-02-2024,09:22:00,10:00:00,38,18.4,324,1,Velachery,Guindy,completed
TRIP017,DRV006,06-02-2024,06:20:00,06:48:00,28,12,259,1.2,Hinjewadi,Aundh,completed
TRIP018,DRV006,06-02-2024,07:01:00,08:01:00,60,26.5,689,1.4,Hadapsar,Hinjewadi,completed
TRIP019,DRV006,06-02-2024,08:23:00,08:46:00,23,13,339,1.6,Hadapsar,Baner,completed
TRIP020,DRV006,06-02-2024,08:58:00,09:38:00,40,18.1,458,1.3,Koregaon Park,Baner,completed
TRIP021,DRV007,06-02-2024,06:27:00,07:27:00,60,22.8,800,1.6,HSR Layout,BTM Layout,completed
TRIP022,DRV007,06-02-2024,08:03:00,08:44:00,41,20,433,1,Whitefield,Hebbal,completed
TRIP023,DRV008,06-02-2024,17:05:00,18:03:00,58,25.9,432,1,Gachibowli,Secunderabad,completed
TRIP024,DRV008,06-02-2024,18:19:00,19:19:00,60,24.4,721,1.5,Hitec City,Madhapur,completed
TRIP025,DRV009,06-02-2024,06:03:00,06:36:00,33,16.1,484,1.4,BTM Layout,Koramangala,completed
TRIP026,DRV009,06-02-2024,06:53:00,07:30:00,37,21,488,1.3,MG Road,Koramangala,completed
TRIP027,DRV009,06-02-2024,07:58:00,08:31:00,33,8.2,227,1.1,Koramangala,BTM Layout,completed
TRIP028,DRV009,06-02-2024,08:55:00,09:14:00,19,7.5,190,1.2,BTM Layout,Whitefield,completed
TRIP029,DRV010,06-02-2024,17:15:00,17:47:00,32,13.7,295,1.1,Koramangala,Whitefield,completed
TRIP030,DRV010,06-02-2024,18:12:00,18:59:00,47,19.2,444,1.1,Whitefield,Indiranagar,completed
TRIP031,DRV010,06-02-2024,19:20:00,20:04:00,44,15.4,443,1.3,Indiranagar,Hebbal,completed
TRIP032,DRV010,06-02-2024,20:21:00,21:12:00,51,22.9,588,1.3,HSR Layout,Indiranagar,completed
TRIP033,DRV010,06-02-2024,21:45:00,22:45:00,60,26.1,719,1.4,Electronic City,Koramangala,completed
TRIP034,DRV011,06-02-2024,06:25:00,06:41:00,16,5.3,116,1.2,Viman Nagar,Koregaon Park,completed
TRIP035,DRV011,06-02-2024,07:12:00,08:12:00,60,24.6,515,1.1,Shivajinagar,Wakad,completed
