driver_id,target_earnings,target_hours,current_earnings,current_hours,remaining_earnings,remaining_hours,projected_earnings,goal_pct_complete,shift_phase,forecast_status,message
DRV001,1400,8.0,1423,7.5,0,0.5,1517.86,101.6,late,achieved,Goal achieved! You've hit ₹1423 — past your target of ₹1400. Any more trips are pure bonus.
DRV002,1200,6.0,925,3.5,275,2.5,1585.72,77.1,mid,ahead,You're ahead of pace by ₹64/hr. On track to finish around ₹1586 — ₹386 above your goal. You're in the middle of your shift.
DRV003,1750,10.0,1148,5.2,602,4.8,2207.7,65.6,mid,ahead,You're ahead of pace by ₹46/hr. On track to finish around ₹2208 — ₹458 above your goal. You're in the middle of your shift.
DRV004,1100,7.0,403,2.3,697,4.7,1226.53,36.6,mid,ahead,You're ahead of pace by ₹18/hr. On track to finish around ₹1227 — ₹127 above your goal. You're in the middle of your shift.
DRV005,1300,7.0,546,2.8,754,4.2,1365.0,42.0,mid,ahead,You're ahead of pace by ₹9/hr. On track to finish around ₹1365 — ₹65 above your goal. You're in the middle of your shift.
DRV006,1500,6.0,633,2.5,867,3.5,1519.2,42.2,mid,ahead,You're ahead of pace by ₹3/hr. On track to finish around ₹1519 — ₹19 above your goal. You're in the middle of your shift.
DRV007,1200,7.0,245,2.0,955,5.0,857.5,20.4,mid,at_risk,You're ₹49/hr behind pace. Aim for 5 more trips. You're in the middle of your shift.
DRV008,1700,10.0,856,4.5,844,5.5,1902.21,50.4,mid,ahead,You're ahead of pace by ₹20/hr. On track to finish around ₹1902 — ₹202 above your goal. You're in the middle of your shift.
DRV009,1100,6.0,384,2.0,716,4.0,1152.0,34.9,mid,ahead,You're ahead of pace by ₹9/hr. On track to finish around ₹1152 — ₹52 above your goal. You're in the middle of your shift.
DRV010,1300,7.0,728,4.2,572,2.8,1213.32,56.0,peak,on_track,"You're on track. Earning ₹173/hr, need ₹186/hr. About 3 more trips should get you there. You're in peak hours — your best window to earn."
DRV012,1719,7.9,1530,3.9,189,4.0,3099.24,89.0,mid,ahead,You're ahead of pace by ₹175/hr. On track to finish around ₹3099 — ₹1380 above your goal. You're in the middle of your shift.
DRV013,1297,6.9,1036,6.5,261,0.40000000000000036,1099.75,79.9,late,at_risk,You're behind and time is short. At this pace you'll reach ₹1100 out of your ₹1297 goal. Push for 1 more trips — every one counts now.
DRV014,1309,6.3,1099,7.1,210,0.0,1099.0,84.0,late,at_risk,You're behind and time is short. At this pace you'll reach ₹1099 out of your ₹1309 goal. Push for 1 more trips — every one counts now.
DRV015,1352,7.7,285,5.5,1067,2.2,399.0,21.1,peak,at_risk,You're ₹124/hr behind but peak hours are here. Complete 5 more trips in 2.2h to recover. Surge pricing could help close the gap.
DRV016,1685,8.4,1275,5.7,410,2.7,1878.94,75.7,peak,ahead,You're ahead of pace by ₹23/hr. On track to finish around ₹1879 — ₹194 above your goal. You're in peak hours — your best window to earn.
DRV017,1567,9.3,286,7.2,1281,2.1000000000000005,369.41,18.3,peak,at_risk,You're ₹129/hr behind but peak hours are here. Complete 6 more trips in 2.1h to recover. Surge pricing could help close the gap.
DRV018,1671,7.5,1491,7.8,180,0.0,1491.0,89.2,late,at_risk,You're behind and time is short. At this pace you'll reach ₹1491 out of your ₹1671 goal. Push for 1 more trips — every one counts now.
DRV019,1392,7.8,1065,3.4,327,4.4,2443.26,76.5,mid,ahead,You're ahead of pace by ₹135/hr. On track to finish around ₹2443 — ₹1051 above your goal. You're in the middle of your shift.
DRV020,1574,9.3,1125,2.1,449,7.200000000000001,4982.11,71.5,early,ahead,You're ahead of pace by ₹366/hr. On track to finish around ₹4982 — ₹3408 above your goal. You're early in your shift — plenty of time to build momentum.
DRV021,1659,6.5,1046,3.6,613,2.9,1888.62,63.1,mid,ahead,You're ahead of pace by ₹35/hr. On track to finish around ₹1889 — ₹230 above your goal. You're in the middle of your shift.
DRV022,1565,6.4,863,6.0,702,0.40000000000000036,920.53,55.1,late,at_risk,You're behind and time is short. At this pace you'll reach ₹921 out of your ₹1565 goal. Push for 4 more trips — every one counts now.
DRV023,1560,8.5,374,4.9,1186,3.5999999999999996,648.79,24.0,mid,at_risk,You're ₹107/hr behind pace. Aim for 6 more trips. You're in the middle of your shift.
DRV024,1487,8.2,289,6.5,1198,1.6999999999999993,364.58,19.4,peak,at_risk,You're ₹137/hr behind but peak hours are here. Complete 6 more trips in 1.7h to recover. Surge pricing could help close the gap.
DRV025,1283,9.1,305,4.2,978,4.8999999999999995,660.84,23.8,mid,at_risk,You're ₹68/hr behind pace. Aim for 5 more trips. You're in the middle of your shift.
DRV026,1220,9.6,1183,2.8,37,6.8,4056.0,97.0,mid,ahead,You're ahead of pace by ₹295/hr. On track to finish around ₹4056 — ₹2836 above your goal. You're in the middle of your shift.
DRV027,1610,8.2,211,5.5,1399,2.6999999999999993,314.57,13.1,peak,at_risk,You're ₹158/hr behind but peak hours are here. Complete 7 more trips in 2.7h to recover. Surge pricing could help close the gap.
DRV028,1564,7.6,362,5.4,1202,2.1999999999999993,509.49,23.1,peak,at_risk,You're ₹139/hr behind but peak hours are here. Complete 6 more trips in 2.2h to recover. Surge pricing could help close the gap.
DRV029,1743,8.2,625,1.8,1118,6.3999999999999995,2847.21,35.9,early,ahead,You're ahead of pace by ₹135/hr. On track to finish around ₹2847 — ₹1104 above your goal. You're early in your shift — plenty of time to build momentum.
DRV030,1133,8.7,1058,5.4,75,3.299999999999999,1704.57,93.4,peak,ahead,You're ahead of pace by ₹66/hr. On track to finish around ₹1705 — ₹572 above your goal. You're in peak hours — your best window to earn.
DRV031,1282,6.6,782,5.5,500,1.0999999999999996,938.4,61.0,late,at_risk,You're behind and time is short. At this pace you'll reach ₹938 out of your ₹1282 goal. Push for 2 more trips — every one counts now.
DRV032,1281,9.9,937,7.6,344,2.3000000000000007,1220.57,73.1,peak,on_track,"You're on track. Earning ₹123/hr, need ₹129/hr. About 2 more trips should get you there. You're in peak hours — your best window to earn."
DRV033,1169,9.0,1063,5.1,106,3.9000000000000004,1875.88,90.9,mid,ahead,You're ahead of pace by ₹79/hr. On track to finish around ₹1876 — ₹707 above your goal. You're in the middle of your shift.
DRV034,1437,8.1,1274,2.9,163,5.199999999999999,3558.41,88.7,mid,ahead,You're ahead of pace by ₹262/hr. On track to finish around ₹3558 — ₹2121 above your goal. You're in the middle of your shift.
DRV035,1744,8.1,379,4.6,1365,3.5,667.36,21.7,mid,at_risk,You're ₹133/hr behind pace. Aim for 7 more trips. You're in the middle of your shift.
DRV036,1424,7.0,1377,8.0,47,0.0,1377.0,96.7,late,at_risk,You're behind and time is short. At this pace you'll reach ₹1377 out of your ₹1424 goal. Push for 0 more trips — every one counts now.
DRV037,1632,8.9,1219,4.7,413,4.2,2308.31,74.7,mid,ahead,You're ahead of pace by ₹76/hr. On track to finish around ₹2308 — ₹676 above your goal. You're in the middle of your shift.
DRV038,1298,6.0,249,4.5,1049,1.5,332.0,19.2,peak,at_risk,You're ₹161/hr behind but peak hours are here. Complete 5 more trips in 1.5h to recover. Surge pricing could help close the gap.
DRV039,1524,7.7,883,3.8,641,3.9000000000000004,1789.24,57.9,mid,ahead,You're ahead of pace by ₹34/hr. On track to finish around ₹1789 — ₹265 above your goal. You're in the middle of your shift.
DRV040,1388,7.0,338,3.5,1050,3.5,676.0,24.4,mid,at_risk,You're ₹102/hr behind pace. Aim for 5 more trips. You're in the middle of your shift.
DRV041,1216,8.7,549,4.1,667,4.6,1164.94,45.1,mid,on_track,"You're on track. Earning ₹134/hr, need ₹140/hr. About 3 more trips should get you there. You're in the middle of your shift."
DRV042,1298,7.3,892,7.5,406,0.0,892.0,68.7,late,at_risk,You're behind and time is short. At this pace you'll reach ₹892 out of your ₹1298 goal. Push for 2 more trips — every one counts now.
DRV043,1593,6.6,1143,7.3,450,0.0,1143.0,71.8,late,at_risk,You're behind and time is short. At this pace you'll reach ₹1143 out of your ₹1593 goal. Push for 2 more trips — every one counts now.
