driver_id,timestamp,cumulative_earnings,elapsed_hours,trips_completed,recalc_velocity,shift_phase,forecast_status,message
DRV147,07:03:00,145,0.55,1,263.64,early,on_track,"You're on track. Earning ₹264/hr, need ₹269/hr. About 7 more trips should get you there. You're early in your shift — plenty of time to build momentum."
DRV028,07:38:00,365,1.47,2,248.3,early,ahead,You're ahead of pace by ₹43/hr. On track to finish around ₹1887 — ₹323 above your goal. You're early in your shift — plenty of time to build momentum.
DRV162,08:15:00,540,2.08,3,259.62,early,ahead,You're ahead of pace by ₹66/hr. On track to finish around ₹2388 — ₹606 above your goal. You're early in your shift — plenty of time to build momentum.
DRV195,08:52:00,738,2.87,4,257.14,mid,ahead,You're ahead of pace by ₹80/hr. On track to finish around ₹2340 — ₹728 above your goal. You're in the middle of your shift.
DRV018,09:42:00,996,3.7,5,269.19,mid,ahead,You're ahead of pace by ₹46/hr. On track to finish around ₹2019 — ₹348 above your goal. You're in the middle of your shift.
DRV040,10:28:00,1178,4.47,6,263.53,peak,ahead,You're ahead of pace by ₹65/hr. On track to finish around ₹1845 — ₹457 above your goal. You're in peak hours — your best window to earn.
DRV096,11:15:00,1423,5.25,7,271.05,mid,achieved,Goal achieved! You've hit ₹1423 — past your target of ₹1199. Any more trips are pure bonus.
DRV182,17:58:00,312,0.97,1,321.65,early,ahead,You're ahead of pace by ₹139/hr. On track to finish around ₹2509 — ₹1082 above your goal. You're early in your shift — plenty of time to build momentum.
DRV163,18:42:00,580,2.2,2,263.64,mid,ahead,You're ahead of pace by ₹82/hr. On track to finish around ₹1977 — ₹611 above your goal. You're in the middle of your shift.
DRV010,19:35:00,925,3.58,3,258.38,mid,ahead,You're ahead of pace by ₹65/hr. On track to finish around ₹1938 — ₹487 above your goal. You're in the middle of your shift.
DRV071,08:32:00,385,1.03,1,373.79,early,ahead,You're ahead of pace by ₹181/hr. On track to finish around ₹3028 — ₹1465 above your goal. You're early in your shift — plenty of time to build momentum.
DRV192,09:18:00,680,2.3,2,295.65,mid,ahead,You're ahead of pace by ₹20/hr. On track to finish around ₹1833 — ₹126 above your goal. You're in the middle of your shift.
DRV114,10:22:00,1148,3.37,3,340.65,mid,ahead,You're ahead of pace by ₹128/hr. On track to finish around ₹2078 — ₹781 above your goal. You're in the middle of your shift.
DRV176,06:52:00,168,0.87,1,193.1,early,ahead,You're ahead of pace by ₹6/hr. On track to finish around ₹1738 — ₹57 above your goal. You're early in your shift — plenty of time to build momentum.
DRV095,07:38:00,403,2.13,2,189.2,mid,ahead,You're ahead of pace by ₹35/hr. On track to finish around ₹1533 — ₹285 above your goal. You're in the middle of your shift.
DRV103,07:28:00,245,1.47,1,166.67,early,on_track,"You're on track. Earning ₹167/hr, need ₹175/hr. About 6 more trips should get you there. You're early in your shift — plenty of time to build momentum."
DRV079,2024-02-06 13:02:24,1513,7.04,13,214.91,late,ahead,You're ahead of pace by ₹34/hr. On track to finish around ₹1827 — ₹292 above your goal. You're in the final stretch of your shift.
DRV115,2024-02-06 11:19:48,414,5.33,15,77.67,mid,at_risk,You're ₹80/hr behind pace. Aim for 6 more trips. You're in the middle of your shift.
DRV157,2024-02-06 11:24:00,1713,5.4,14,317.22,peak,achieved,Goal achieved! You've hit ₹1713 — past your target of ₹1530. Any more trips are pure bonus.
DRV068,2024-02-06 12:33:36,1939,6.56,5,295.58,late,achieved,Goal achieved! You've hit ₹1939 — past your target of ₹1598. Any more trips are pure bonus.
DRV080,2024-02-06 08:40:48,623,2.68,2,232.46,mid,ahead,You're ahead of pace by ₹65/hr. On track to finish around ₹1790 — ₹500 above your goal. You're in the middle of your shift.
DRV189,2024-02-06 12:03:00,1543,6.05,12,255.04,peak,achieved,Goal achieved! You've hit ₹1543 — past your target of ₹1242. Any more trips are pure bonus.
DRV127,2024-02-06 10:48:00,625,4.8,14,130.21,mid,at_risk,You're ₹46/hr behind pace. Aim for 6 more trips. You're in the middle of your shift.
DRV123,2024-02-06 13:39:36,1433,7.66,12,187.08,late,at_risk,You're behind and time is short. At this pace you'll reach ₹1433 out of your ₹1549 goal. Push for 1 more trips — every one counts now.
DRV013,2024-02-06 08:49:48,156,2.83,9,55.12,mid,at_risk,You're ₹133/hr behind pace. Aim for 6 more trips. You're in the middle of your shift.
DRV068,2024-02-06 12:51:00,927,6.85,6,135.33,late,at_risk,You're behind and time is short. At this pace you'll reach ₹927 out of your ₹1598 goal. Push for 3 more trips — every one counts now.
DRV115,2024-02-06 12:28:48,1645,6.48,9,253.86,peak,achieved,Goal achieved! You've hit ₹1645 — past your target of ₹1560. Any more trips are pure bonus.
DRV008,2024-02-06 07:18:00,1059,1.3,9,814.62,early,ahead,You're ahead of pace by ₹644/hr. On track to finish around ₹7128 — ₹5636 above your goal. You're early in your shift — plenty of time to build momentum.
DRV057,2024-02-06 08:52:12,2036,2.87,14,709.41,mid,achieved,Goal achieved! You've hit ₹2036 — past your target of ₹1687. Any more trips are pure bonus.
