driver_id,total_earned,total_trips,avg_velocity,peak_stress_score,stress_badge,stress_icon,n_excellent_trips,n_good_trips,n_average_trips,n_poor_trips,best_route,best_route_vel,target_earnings,projected_earnings,remaining_hours,goal_pct_complete,forecast,goal_message,total_flags,high_flags
DRV001,1777,5,583.0,1.0,HIGH,🔴,0,0,0,5,Viman Nagar → Hinjewadi,856.0,1676.0,2854.63,3.02,106.0,achieved,🎯 Goal reached! Any more trips today are a bonus.,66,4
DRV002,790,2,518.0,0.862,HIGH,🔴,0,0,0,2,South Delhi → Saket,621.0,1433.0,3950.0,6.4,55.1,on_track,Good start! Keep this pace and you'll hit your goal comfortably.,18,1
DRV003,1343,2,672.0,0.988,HIGH,🔴,0,0,0,2,Koregaon Park → Aundh,782.0,1205.0,4533.35,5.63,111.5,achieved,🎯 Goal reached! Any more trips today are a bonus.,25,1
DRV004,1412,3,683.0,0.52,MODERATE,🟡,0,0,0,3,Juhu → Andheri West,832.0,1463.0,4344.63,5.4,96.5,on_track,You're on track — just 4% left to go.,28,0
DRV005,1564,4,610.0,0.932,HIGH,🔴,0,0,0,4,Adyar → Guindy,786.0,1566.0,3208.22,4.1,99.9,on_track,You're on track — just 0% left to go.,26,1
DRV006,1745,4,704.0,0.672,HIGH,🔴,0,0,1,3,Hadapsar → Baner,884.0,3227.0,7755.53,12.4,54.1,on_track,Good start! Keep this pace and you'll hit your goal comfortably.,23,0
DRV007,1233,2,717.0,0.82,HIGH,🔴,0,0,0,2,HSR Layout → BTM Layout,800.0,1186.0,3653.35,5.3,104.0,achieved,🎯 Goal reached! Any more trips today are a bonus.,20,2
DRV008,1153,2,584.0,0.988,HIGH,🔴,0,0,0,2,Hitec City → Madhapur,721.0,904.0,3493.93,4.02,127.5,achieved,🎯 Goal reached! Any more trips today are a bonus.,30,2
DRV009,1389,4,671.0,0.568,MODERATE,🟡,0,0,0,4,BTM Layout → Koramangala,880.0,1385.0,3728.87,5.02,100.3,achieved,🎯 Goal reached! Any more trips today are a bonus.,30,0
DRV010,2489,5,627.0,0.52,MODERATE,🟡,0,0,0,5,Electronic City → Koramangala,719.0,1192.0,2606.28,0.27,208.8,achieved,🎯 Goal reached! Any more trips today are a bonus.,48,0
DRV011,631,2,475.0,0.52,MODERATE,🟡,0,0,1,1,Shivajinagar → Wakad,515.0,2447.0,5048.0,14.0,25.8,on_track,Good start! Keep this pace and you'll hit your goal comfortably.,24,0
DRV012,2531,6,688.0,0.52,MODERATE,🟡,0,0,0,6,Kurla → Malad,768.0,1237.0,2989.37,0.92,204.6,achieved,🎯 Goal reached! Any more trips today are a bonus.,66,0
DRV013,891,3,554.0,0.52,MODERATE,🟡,0,0,1,2,Anna Nagar → Adyar,720.0,1619.0,3426.95,5.92,55.0,on_track,You're on track — just 45% left to go.,13,0
